title,author,year,category,class_code,description
Nhập môn lập trình C,Nguyễn Văn Ba,2018,Khoa Công nghệ thông tin,CNTT-001,Giáo trình lập trình C cơ bản dành cho sinh viên năm nhất. Bao gồm các khái niệm cơ bản về biến, vòng lặp, hàm và con trỏ.
Lập trình Python cơ bản,Nguyễn Văn Ba,2020,Khoa Công nghệ thông tin,CNTT-002,Sách giới thiệu về Python cho người mới bắt đầu. Các chủ đề: kiểu dữ liệu, cấu trúc điều khiển, hàm và module.
Cơ sở dữ liệu,Nguyễn Văn Bảy,2019,Khoa Công nghệ thông tin,CNTT-003,Giáo trình về hệ quản trị cơ sở dữ liệu. Bao gồm SQL, thiết kế database và chuẩn hóa dữ liệu.
Cấu trúc dữ liệu và giải thuật,Nguyễn Văn Bảy,2019,Khoa Công nghệ thông tin,CNTT-004,Sách về các cấu trúc dữ liệu cơ bản và thuật toán. Các chủ đề: mảng, danh sách liên kết, cây, đồ thị.
Hệ điều hành,Nguyễn Văn Bình,2018,Khoa Công nghệ thông tin,CNTT-005,Nguyên lý hệ điều hành. Quản lý tiến trình, bộ nhớ, file system và bảo mật.
Mạng máy tính,Nguyễn Văn Bình,2018,Khoa Công nghệ thông tin,CNTT-006,Kiến trúc mạng máy tính. Mô hình OSI, TCP/IP, các giao thức mạng và bảo mật mạng.
Trí tuệ nhân tạo,Nguyễn Văn Hưng,2021,Khoa Công nghệ thông tin,CNTT-007,Giới thiệu về AI. Các thuật toán tìm kiếm, học máy cơ bản và ứng dụng.
Machine Learning cơ bản,Nguyễn Văn Hưng,2022,Khoa Công nghệ thông tin,CNTT-008,Học máy cơ bản với Python. Các thuật toán regression, classification và clustering.
Deep Learning,Nguyễn Văn Hưng,2023,Khoa Công nghệ thông tin,CNTT-009,Mạng nơ ron sâu và ứng dụng trong xử lý ảnh, ngôn ngữ tự nhiên.
Phân tích dữ liệu với Python,Nguyễn Văn Long,2021,Khoa Công nghệ thông tin,CNTT-010,Data science cơ bản với pandas, numpy và matplotlib.
Phát triển Web với Flask,Nguyễn Văn Long,2022,Khoa Công nghệ thông tin,CNTT-011,Xây dựng ứng dụng web backend với Python Flask và SQLAlchemy.
An toàn thông tin,Nguyễn Văn Bình,2021,Khoa Công nghệ thông tin,CNTT-012,Bảo mật hệ thống, mã hóa và các kỹ thuật tấn công phòng thủ.
Khai phá dữ liệu,Nguyễn Văn Hưng,2022,Khoa Công nghệ thông tin,CNTT-013,Data mining, khai thác dữ liệu lớn và phát hiện tri thức.
Điện toán đám mây,Nguyễn Văn Long,2023,Khoa Công nghệ thông tin,CNTT-014,Cloud computing, AWS, Azure và các mô hình dịch vụ cloud.
Phát triển ứng dụng di động,Nguyễn Văn Long,2023,Khoa Công nghệ thông tin,CNTT-015,Phát triển Android với Kotlin và Java.
Thiết kế hệ thống phần mềm,Nguyễn Văn Ba,2021,Khoa Công nghệ thông tin,CNTT-016,Software architecture, design patterns và nguyên lý SOLID.
Quản trị mạng,Nguyễn Văn Bình,2022,Khoa Công nghệ thông tin,CNTT-017,Network administration, quản trị hệ thống mạng doanh nghiệp.
Phân tích thiết kế hệ thống,Nguyễn Văn Ba,2020,Khoa Công nghệ thông tin,CNTT-018,System analysis, UML và quy trình phát triển phần mềm.
Lập trình Java,Nguyễn Văn Long,2021,Khoa Công nghệ thông tin,CNTT-019,Java programming, OOP và phát triển ứng dụng Java.
Lập trình C#,Nguyễn Văn Long,2022,Khoa Công nghệ thông tin,CNTT-020,C# programming và .NET framework.

Kinh tế vi mô,Nguyễn Văn Đức,2018,Khoa Kinh tế và Quản trị kinh doanh,KT-001,Nguyên lý kinh tế vi mô, cung cầu, thị trường và hành vi người tiêu dùng.
Kinh tế vĩ mô,Nguyễn Văn Đức,2018,Khoa Kinh tế và Quản trị kinh doanh,KT-002,Nguyên lý kinh tế vĩ mô, GDP, lạm phát, thất nghiệp và chính sách kinh tế.
Quản trị doanh nghiệp,Nguyễn Văn Minh,2019,Khoa Kinh tế và Quản trị kinh doanh,KT-003,Quản trị doanh nghiệp, chiến lược và quản lý nhân sự.
Marketing căn bản,Nguyễn Văn Minh,2020,Khoa Kinh tế và Quản trị kinh doanh,KT-004,Marketing, nghiên cứu thị trường và hành vi khách hàng.
Quản trị chiến lược,Nguyễn Văn Minh,2021,Khoa Kinh tế và Quản trị kinh doanh,KT-005,Chiến lược doanh nghiệp, phân tích SWOT và hoạch định chiến lược.
Quản trị nhân sự,Nguyễn Văn Minh,2021,Khoa Kinh tế và Quản trị kinh doanh,KT-006,Human resource management, tuyển dụng và đào tạo nhân sự.
Kinh tế quốc tế,Nguyễn Văn Đức,2022,Khoa Kinh tế và Quản trị kinh doanh,KT-007,International economics, thương mại quốc tế và toàn cầu hóa.
Thương mại điện tử,Nguyễn Văn Đức,2023,Khoa Kinh tế và Quản trị kinh doanh,KT-008,E-commerce, kinh doanh trực tuyến và marketing số.
Quản trị sản xuất,Nguyễn Văn Minh,2022,Khoa Kinh tế và Quản trị kinh doanh,KT-009,Production management, quản lý chuỗi cung ứng và logistics.
Khởi nghiệp kinh doanh,Nguyễn Văn Minh,2023,Khoa Kinh tế và Quản trị kinh doanh,KT-010,Startup business, lập kế hoạch kinh doanh và gọi vốn.

Kế toán tài chính,Trần Văn Bình,2019,Khoa Kế toán - Tài chính,KTTC-001,Kế toán tài chính, nguyên lý kế toán và lập báo cáo tài chính.
Kế toán quản trị,Trần Văn Bình,2020,Khoa Kế toán - Tài chính,KTTC-002,Kế toán quản trị, phân tích chi phí và ra quyết định.
Phân tích tài chính,Trần Văn Bình,2021,Khoa Kế toán - Tài chính,KTTC-003,Financial analysis, phân tích báo cáo tài chính và định giá doanh nghiệp.
Tài chính doanh nghiệp,Trần Văn Bình,2020,Khoa Kế toán - Tài chính,KTTC-004,Corporate finance, quản lý vốn và đầu tư.
Kiểm toán căn bản,Trần Văn Bình,2021,Khoa Kế toán - Tài chính,KTTC-005,Auditing basics, quy trình kiểm toán và đạo đức nghề nghiệp.
Thuế và hệ thống thuế,Trần Văn Bình,2022,Khoa Kế toán - Tài chính,KTTC-006,Tax system, các loại thuế và quản lý thuế.
Ngân hàng thương mại,Trần Văn Bình,2023,Khoa Kế toán - Tài chính,KTTC-007,Commercial banking, nghiệp vụ ngân hàng và quản lý rủi ro.
Đầu tư tài chính,Trần Văn Bình,2021,Khoa Kế toán - Tài chính,KTTC-008,Financial investment, phân tích đầu tư và quản lý danh mục.
Quản trị rủi ro tài chính,Trần Văn Bình,2022,Khoa Kế toán - Tài chính,KTTC-009,Risk management, các công cụ phái sinh và bảo hiểm.
Thị trường chứng khoán,Trần Văn Bình,2023,Khoa Kế toán - Tài chính,KTTC-010,Stock market, đầu tư chứng khoán và phân tích kỹ thuật.

Du lịch học đại cương,Nguyễn Văn Hòa,2019,Khoa Du lịch,DL-001,Giới thiệu ngành du lịch, lịch sử và xu hướng phát triển.
Quản trị khách sạn,Nguyễn Văn Hòa,2020,Khoa Du lịch,DL-002,Hotel management, quản lý khách sạn và dịch vụ lưu trú.
Quản trị lữ hành,Nguyễn Văn Hòa,2021,Khoa Du lịch,DL-003,Travel agency management, tổ chức tour và dịch vụ du lịch.
Văn hóa du lịch,Nguyễn Văn Hòa,2022,Khoa Du lịch,DL-004,Tourism culture, văn hóa và ứng xử trong du lịch.
Du lịch bền vững,Nguyễn Văn Hòa,2022,Khoa Du lịch,DL-005,Sustainable tourism, phát triển du lịch bền vững và bảo vệ môi trường.
Quản trị sự kiện,Nguyễn Văn Hòa,2021,Khoa Du lịch,DL-006,Event management, tổ chức sự kiện và hội nghị.
Hướng dẫn du lịch,Nguyễn Văn Hòa,2020,Khoa Du lịch,DL-007,Tour guiding, kỹ năng hướng dẫn và thuyết minh du lịch.
Du lịch sinh thái,Nguyễn Văn Hòa,2023,Khoa Du lịch,DL-008,Ecotourism, du lịch sinh thái và bảo tồn thiên nhiên.
Du lịch văn hóa,Nguyễn Văn Hòa,2022,Khoa Du lịch,DL-009,Cultural tourism, du lịch di sản và văn hóa địa phương.
Quản lý điểm đến du lịch,Nguyễn Văn Hòa,2023,Khoa Du lịch,DL-010,Destination management, phát triển và quảng bá điểm đến.

Tiếng Anh cơ bản,Nguyễn Thị Lan,2018,Khoa Ngoại ngữ,NN-001,English basic, ngữ pháp và từ vựng tiếng Anh cơ bản.
Tiếng Anh nâng cao,Nguyễn Thị Lan,2019,Khoa Ngoại ngữ,NN-002,Advanced English, kỹ năng viết và nói nâng cao.
Tiếng Trung cơ bản,Nguyễn Thị Lan,2020,Khoa Ngoại ngữ,NN-003,Chinese basic, tiếng Trung cho người mới bắt đầu.
Tiếng Nhật cơ bản,Nguyễn Thị Lan,2021,Khoa Ngoại ngữ,NN-004,Japanese basic, bảng chữ cái và ngữ pháp cơ bản.
Tiếng Hàn cơ bản,Nguyễn Thị Lan,2022,Khoa Ngoại ngữ,NN-005,Korean basic, bảng chữ cái Hàn Quốc và hội thoại cơ bản.
Ngữ pháp tiếng Anh,Nguyễn Thị Lan,2021,Khoa Ngoại ngữ,NN-006,English grammar, ngữ pháp tiếng Anh toàn diện.
Phát âm tiếng Anh,Nguyễn Thị Lan,2022,Khoa Ngoại ngữ,NN-007,English pronunciation, phát âm và ngữ điệu tiếng Anh.
Dịch thuật tiếng Anh,Nguyễn Thị Lan,2023,Khoa Ngoại ngữ,NN-008,Translation, kỹ năng dịch Anh-Việt và Việt-Anh.
Tiếng Anh thương mại,Nguyễn Thị Lan,2023,Khoa Ngoại ngữ,NN-009,Business English, tiếng Anh trong kinh doanh và thương mại.
Tiếng Anh học thuật,Nguyễn Thị Lan,2024,Khoa Ngoại ngữ,NN-010,Academic English, viết luận và thuyết trình học thuật.

Giải tích 1,Nguyễn Văn Sơn,2018,Khoa Toán và Khoa học tự nhiên,TN-001,Giải tích cơ bản, giới hạn, đạo hàm và tích phân.
Giải tích 2,Nguyễn Văn Sơn,2019,Khoa Toán và Khoa học tự nhiên,TN-002,Giải tích nâng cao, tích phân bội và chuỗi.
Đại số tuyến tính,Nguyễn Văn Sơn,2020,Khoa Toán và Khoa học tự nhiên,TN-003,Linear algebra, ma trận, định thức và không gian vector.
Xác suất thống kê,Nguyễn Văn Sơn,2021,Khoa Toán và Khoa học tự nhiên,TN-004,Statistics, xác suất và thống kê ứng dụng.
Toán rời rạc,Nguyễn Văn Sơn,2022,Khoa Toán và Khoa học tự nhiên,TN-005,Discrete mathematics, logic, tổ hợp và lý thuyết đồ thị.
Hình học giải tích,Nguyễn Văn Sơn,2021,Khoa Toán và Khoa học tự nhiên,TN-006,Analytic geometry, hình học phẳng và không gian.
Phương trình vi phân,Nguyễn Văn Sơn,2022,Khoa Toán và Khoa học tự nhiên,TN-007,Differential equations, phương trình vi phân thường và đạo hàm riêng.
Phương pháp số,Nguyễn Văn Sơn,2023,Khoa Toán và Khoa học tự nhiên,TN-008,Numerical methods, giải tích số và mô phỏng.
Logic toán,Nguyễn Văn Sơn,2023,Khoa Toán và Khoa học tự nhiên,TN-009,Mathematical logic, mệnh đề và vị từ.
Thống kê ứng dụng,Nguyễn Văn Sơn,2024,Khoa Toán và Khoa học tự nhiên,TN-010,Applied statistics, thống kê trong nghiên cứu khoa học.Kinh tế lượng cơ bản,Trần Thị Mai,2023,Kinh tế,KT-011,"Giáo trình kinh tế lượng, các phương pháp hồi quy và ứng dụng trong phân tích kinh tế."
Lập trình Web với Django,Nguyễn Văn Nam,2024,Công nghệ thông tin,CNTT-021,"Giáo trình lập trình web với Django framework, bao gồm các kiến thức về models, views, templates và REST API."
m,m,m,m,m,m
